peer_group,fondo_name,saf_name
1,SURA RENTA DÓLARES FMIV (ANTES ING RENTA FUND - FMIV),FONDOS SURA SAF S.A.C.
1,BBVA LEER ES ESTAR ADELANTE FMIV (ANTES BBVA VIP FMIV),BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
1,BBVA DOLARES FMIV,BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
1,CREDICORP CAPITAL CONSERVADOR MEDIANO PLAZO DOLARES FMIV,CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
1,IF MEDIANO PLAZO  FMIV (ANTES IF DEUDA FMIV),INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
1,SCOTIA FONDO PREMIUM $ FMIV,SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
2,SURA RENTA SOLES FMIV (ANTES ING RENTA SOLES FMIV),FONDOS SURA SAF S.A.C.
2,BBVA SOLES FMIV,BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
2,CREDICORP CAPITAL CONSERVADOR MEDIANO PLAZO SOLES FMIV,CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
2,IF MEDIANO PLAZO SOLES FMIV(ANTES IF DEUDA SOLES FMIV) ,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
2,SCOTIA FONDO PREMIUM S/. FMIV,SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
3,SURA ULTRA CASH SOLES FMIV (ANTES ING RENTA CASH SOLES-FMIV),FONDOS SURA SAF S.A.C.
3,BBVA CASH SOLES FMIV,BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
3,CREDICORP CAPITAL CONSERVADOR LIQUIDEZ SOLES FMIV,CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
3,DIVISO EXTRA CONSERVADOR SOLES FMIV,DIVISO FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS S.A.
3,IF LIBRE DISPONIBILIDAD SOLES FMIV,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
4,SURA ULTRA CASH DÓLARES FMIV (ANTES ING RENTA CASH DOLARES-FMIV),FONDOS SURA SAF S.A.C.
4,BBVA CASH DOLARES FMIV,BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
4,CREDICORP CAPITAL CONSERVADOR LIQUIDEZ DOLARES FMIV ,CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
5,SURA CORTO PLAZO SOLES FMIV (ANTES ING RENTA CORTO PLAZO SOLES - FMIV),FONDOS SURA SAF S.A.C.
5,BBVA PERU SOLES FMIV,BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
5,BBVA SOLES MONETARIO FMIV (ANTES BBVA TESORERIA SOLES FMIV),BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
5,CREDICORP CAPITAL CONSERVADOR CORTO PLAZO SOLES FMIV,CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
5,IF CASH SOLES FMIV,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
5,IF OPORTUNIDAD SOLES FMIV,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
5,SCOTIA FONDO CASH S/. FMIV,SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
5,SCOTIA FONDO  DEPOSITO DISPONIBLE S/. FMIV,SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
6,SURA CORTO PLAZO DÓLARES FMIV (ANTES ING RENTA CORTO PLAZO DOLARES),FONDOS SURA SAF S.A.C.
6,BBVA DOLARES MONETARIO FMIV,BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
6,CREDICORP CAPITAL CONSERVADOR CORTO PLAZO DOLARES FMIV,CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
6,DIVISO CONSERVADOR DOLARES FMIV,DIVISO FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS S.A.
6,IF CASH FMIV,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
6,IF LIBRE DISPONIBILIDAD FMIV,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
6,IF OPORTUNIDAD FMIV,INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
6,SCOTIA FONDO CASH $ FMIV,SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
6,SCOTIA FONDO DEPOSITO DISPONIBLE $ FMIV,SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
7,SURA ACCIONES FMIV (ANTES ING RENTA ACCIONES FMIV),FONDOS SURA SAF S.A.C.
7, CREDICORP CAPITAL ACCIONES FMIV (ANT BCP ACCIONES FMIV),CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
7,IF ACCIONES FMIV ( ANTES IF ACCIONES SOLES FMIV),INTERFONDOS S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
7,SCOTIA FONDO ACCIONES FMIV ( SCOTIA FONDO ACCIONES S/. FMIV),SCOTIA FONDOS SOCIEDAD ADMINISTRADORA DE FONDOS MUTUOS S.A.
7,BBVA AGRESIVO - S FMIV (ANTES BBVA AGRESIVO SOLES FMIV  ),BBVA ASSET MANAGEMENT S.A. SOCIEDAD ADMINISTRADORA DE FONDOS
7,PROMOINVEST INCASOL FMIV,PROMOINVEST SOCIEDAD ADMINISTRADORA DE FONDOS S.A.A.
7,PROMOINVEST FONDO SELECTIVO FMIV,PROMOINVEST SOCIEDAD ADMINISTRADORA DE FONDOS S.A.A.
